"country","iso3","alternative_name","population","hemisphere","population_density","median_age_2018","mortality_under5_2019","GDP_per_capita_2019","gini_2017","christianity_share","islam_share","unaffiliated_share","hinduism_share","buddhism_share","folk_relig_share","other_relig_share","judaism_share","life_exp_diff_2015_1965"
Afghanistan,AFG,,38928341,north,56.93776001,18.9,60.3,573.0,,0.0,1.04,0.0,0.0,0.0,0.0,0.0,0.0,28.43
Albania,ALB,,2877800.0,north,104.6122628,32.9,9.7,5211.0,33.2,0.19,0.92,0.01,0.0,0.0,0.0,0.0,0.0,12.18
Algeria,DZA,,43851043,north,17.73007507,28.1,23.3,4700.0,,0.0,0.9,0.02,0.0,0.0,0.0,0.0,0.0,27.7
Andorra,AND,,77265.0,north,163.8425532,44.3,3.0,45887.0,,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.05
Angola,AGO,,32866268,south,24.71305206,15.9,74.7,3111.0,,0.68,0.0,0.04,0.0,0.0,0.03,0.0,0.0,20.3
Antigua and Barbuda,ATG,,97928.0,north,218.8318182,31.9,6.6,15704.0,,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.08
Argentina,ARG,,45195777,south,16.2585101,31.7,9.3,9742.0,41.2,0.83,0.01,0.12,0.0,0.0,0.01,0.0,0.0,10.55
Armenia,ARM,,2963234.0,north,103.6802248,35.1,11.8,4732.0,33.6,1.07,0.0,0.01,0.0,0.0,0.0,0.0,0.0,6.31
Australia,AUS,,25459700,south,3.249129487,38.7,3.6,57187.0,,0.59,0.03,0.27,0.02,0.03,0.01,0.01,0.0,11.97
Austria,AUT,,9006400.0,north,107.2069267,44.0,3.5,50553.0,29.7,0.75,0.06,0.14,0.0,0.0,0.0,0.0,0.0,11.21
Azerbaijan,AZE,,10139175,north,120.2653199,32.3,20.4,5880.0,,0.03,0.97,0.0,0.0,0.0,0.0,0.0,0.0,10.16
Bahamas,BHS,,393248.0,north,38.52547453,,,,,0.92,0.0,0.03,0.0,0.0,0.0,0.0,0.0,7.78
Bahrain,BHR,,1701583.0,north,2017.2737,32.3,6.9,20913.0,,0.12,0.6,0.02,0.09,0.03,0.0,0.0,0.0,18.37
Bangladesh,BGD,,164689383,north,1239.579312,26.7,30.8,1288.0,,0.0,0.93,0.0,0.08,0.01,0.0,0.0,0.0,23.46
