"date","weekend","country","iso3","daily_confirmed","daily_tests_performed"
"2020-01-27",0,Czechia,CZE,0.0,
"2020-01-28",0,Czechia,CZE,0.0,8.0
"2020-01-29",0,Czechia,CZE,0.0,5.0
"2020-01-30",0,Czechia,CZE,0.0,1.0
"2020-01-31",0,Czechia,CZE,0.0,3.0
"2020-02-01",1,Czechia,CZE,0.0,1.0
"2020-02-02",1,Czechia,CZE,0.0,5.0
"2020-02-03",0,Czechia,CZE,0.0,5.0
"2020-02-04",0,Czechia,CZE,0.0,5.0
"2020-02-05",0,Czechia,CZE,0.0,
"2020-02-06",0,Czechia,CZE,0.0,
"2020-02-07",0,Czechia,CZE,0.0,6.0
"2020-02-08",1,Czechia,CZE,0.0,
"2020-02-09",1,Czechia,CZE,0.0,
"2020-02-10",0,Czechia,CZE,0.0,8.0
"2020-02-11",0,Czechia,CZE,0.0,2.0
"2020-02-12",0,Czechia,CZE,0.0,1.0
"2020-02-13",0,Czechia,CZE,0.0,1.0
"2020-02-14",0,Czechia,CZE,0.0,
"2020-02-15",1,Czechia,CZE,0.0,
"2020-02-16",1,Czechia,CZE,0.0,1.0
"2020-01-27",0,Denmark,DNK,0.0,1.0
"2020-01-28",0,Denmark,DNK,0.0,
"2020-01-29",0,Denmark,DNK,0.0,1.0
"2020-01-30",0,Denmark,DNK,0.0,
"2020-01-31",0,Denmark,DNK,0.0,
"2020-02-01",1,Denmark,DNK,0.0,
"2020-02-02",1,Denmark,DNK,0.0,1.0
"2020-02-03",0,Denmark,DNK,0.0,1.0
"2020-02-04",0,Denmark,DNK,0.0,
"2020-02-05",0,Denmark,DNK,0.0,1.0
"2020-02-06",0,Denmark,DNK,0.0,1.0
"2020-02-07",0,Denmark,DNK,0.0,1.0
"2020-02-08",1,Denmark,DNK,0.0,
"2020-02-09",1,Denmark,DNK,0.0,
"2020-02-10",0,Denmark,DNK,0.0,
"2020-02-11",0,Denmark,DNK,0.0,
"2020-02-12",0,Denmark,DNK,0.0,2.0
"2020-02-13",0,Denmark,DNK,0.0,1.0
"2020-02-14",0,Denmark,DNK,0.0,1.0
"2020-02-15",1,Denmark,DNK,0.0,
"2020-02-16",1,Denmark,DNK,0.0,
"2020-01-30",0,Fiji,FJI,0.0,
"2020-01-31",0,Fiji,FJI,0.0,
"2020-02-01",1,Fiji,FJI,0.0,
"2020-02-02",1,Fiji,FJI,0.0,
"2020-02-03",0,Fiji,FJI,0.0,
"2020-02-04",0,Fiji,FJI,0.0,
"2020-02-05",0,Fiji,FJI,0.0,
"2020-02-06",0,Fiji,FJI,0.0,
"2020-02-07",0,Fiji,FJI,0.0,
"2020-02-08",1,Fiji,FJI,0.0,1.0
"2020-02-09",1,Fiji,FJI,0.0,
"2020-02-10",0,Fiji,FJI,0.0,
"2020-02-11",0,Fiji,FJI,0.0,
"2020-02-12",0,Fiji,FJI,0.0,
"2020-02-13",0,Fiji,FJI,0.0,
"2020-02-14",0,Fiji,FJI,0.0,
"2020-02-15",1,Fiji,FJI,0.0,
"2020-02-16",1,Fiji,FJI,0.0,
"2020-01-26",1,Israel,ISR,0.0,
"2020-01-27",0,Israel,ISR,0.0,1.0
"2020-01-28",0,Israel,ISR,0.0,
"2020-01-29",0,Israel,ISR,0.0,
"2020-01-30",0,Israel,ISR,0.0,4.0
"2020-01-31",0,Israel,ISR,0.0,
"2020-02-01",1,Israel,ISR,0.0,
"2020-02-02",1,Israel,ISR,0.0,
"2020-02-03",0,Israel,ISR,0.0,7.0
"2020-02-04",0,Israel,ISR,0.0,6.0
"2020-02-05",0,Israel,ISR,0.0,
"2020-02-06",0,Israel,ISR,0.0,
"2020-02-07",0,Israel,ISR,0.0,
"2020-02-08",1,Israel,ISR,0.0,
"2020-02-09",1,Israel,ISR,0.0,
"2020-02-10",0,Israel,ISR,0.0,28.0
"2020-02-11",0,Israel,ISR,0.0,50.0
"2020-02-12",0,Israel,ISR,0.0,35.0
"2020-02-13",0,Israel,ISR,0.0,35.0
"2020-02-14",0,Israel,ISR,0.0,30.0
"2020-02-15",1,Israel,ISR,0.0,3.0
"2020-02-06",0,Malta,MLT,0.0,1.0
"2020-02-07",0,Malta,MLT,0.0,
"2020-02-08",1,Malta,MLT,0.0,
"2020-02-09",1,Malta,MLT,0.0,
"2020-02-10",0,Malta,MLT,0.0,
"2020-02-11",0,Malta,MLT,0.0,
"2020-02-12",0,Malta,MLT,0.0,
"2020-02-13",0,Malta,MLT,0.0,
"2020-02-14",0,Malta,MLT,0.0,
"2020-02-15",1,Malta,MLT,0.0,
"2020-01-28",0,Nepal,NPL,0.0,
"2020-01-29",0,Nepal,NPL,0.0,1.0
"2020-01-30",0,Nepal,NPL,0.0,1.0
"2020-01-31",0,Nepal,NPL,0.0,
"2020-02-01",1,Nepal,NPL,0.0,
"2020-02-02",1,Nepal,NPL,0.0,
"2020-02-03",0,Nepal,NPL,0.0,
"2020-02-04",0,Nepal,NPL,0.0,
"2020-02-05",0,Nepal,NPL,0.0,
"2020-02-06",0,Nepal,NPL,0.0,
"2020-02-07",0,Nepal,NPL,0.0,
"2020-02-08",1,Nepal,NPL,0.0,
"2020-02-09",1,Nepal,NPL,0.0,
"2020-02-10",0,Nepal,NPL,0.0,
"2020-02-11",0,Nepal,NPL,0.0,
"2020-02-12",0,Nepal,NPL,0.0,
"2020-02-13",0,Nepal,NPL,0.0,4.0
"2020-02-14",0,Nepal,NPL,0.0,
"2020-02-15",1,Nepal,NPL,0.0,
"2020-01-24",0,Switzerland,CHE,0.0,3.0
"2020-01-25",1,Switzerland,CHE,0.0,4.0
"2020-01-26",1,Switzerland,CHE,0.0,
"2020-01-27",0,Switzerland,CHE,0.0,13.0
"2020-01-28",0,Switzerland,CHE,0.0,16.0
"2020-01-29",0,Switzerland,CHE,0.0,29.0
"2020-01-30",0,Switzerland,CHE,0.0,40.0
"2020-01-31",0,Switzerland,CHE,0.0,32.0
"2020-02-01",1,Switzerland,CHE,0.0,19.0
"2020-02-02",1,Switzerland,CHE,0.0,11.0
"2020-02-03",0,Switzerland,CHE,0.0,14.0
"2020-02-04",0,Switzerland,CHE,0.0,26.0
"2020-02-05",0,Switzerland,CHE,0.0,28.0
"2020-02-06",0,Switzerland,CHE,0.0,13.0
"2020-02-07",0,Switzerland,CHE,0.0,15.0
"2020-02-08",1,Switzerland,CHE,0.0,7.0
"2020-02-09",1,Switzerland,CHE,0.0,9.0
"2020-02-10",0,Switzerland,CHE,0.0,13.0
"2020-02-11",0,Switzerland,CHE,0.0,22.0
"2020-02-12",0,Switzerland,CHE,0.0,20.0
"2020-02-13",0,Switzerland,CHE,0.0,7.0
"2020-02-14",0,Switzerland,CHE,0.0,9.0
"2020-02-15",1,Switzerland,CHE,0.0,5.0
"2020-01-22",0,Thailand,THA,,8.0
"2020-01-23",0,Thailand,THA,0.0,24.0
"2020-01-24",0,Thailand,THA,1.0,19.0
"2020-01-25",1,Thailand,THA,1.0,26.0
"2020-01-26",1,Thailand,THA,2.0,61.0
"2020-01-27",0,Thailand,THA,0.0,59.0
"2020-01-28",0,Thailand,THA,6.0,78.0
"2020-01-29",0,Thailand,THA,0.0,108.0
"2020-01-30",0,Thailand,THA,0.0,135.0
"2020-01-31",0,Thailand,THA,5.0,142.0
"2020-02-01",1,Thailand,THA,0.0,224.0
"2020-02-02",1,Thailand,THA,0.0,153.0
"2020-02-03",0,Thailand,THA,0.0,128.0
"2020-02-04",0,Thailand,THA,6.0,235.0
"2020-02-05",0,Thailand,THA,0.0,387.0
"2020-02-06",0,Thailand,THA,0.0,205.0
"2020-02-07",0,Thailand,THA,0.0,152.0
"2020-02-08",1,Thailand,THA,7.0,104.0
"2020-02-09",1,Thailand,THA,0.0,61.0
"2020-02-10",0,Thailand,THA,0.0,51.0
"2020-02-11",0,Thailand,THA,1.0,65.0
"2020-02-12",0,Thailand,THA,0.0,116.0
"2020-02-13",0,Thailand,THA,0.0,69.0
"2020-02-14",0,Thailand,THA,0.0,53.0
"2020-02-15",1,Thailand,THA,1.0,81.0
"2020-01-29",0,United Arab Emirates,ARE,4.0,75.0
"2020-01-30",0,United Arab Emirates,ARE,0.0,
"2020-01-31",0,United Arab Emirates,ARE,0.0,
"2020-02-01",1,United Arab Emirates,ARE,0.0,183.0
"2020-02-02",1,United Arab Emirates,ARE,1.0,
"2020-02-03",0,United Arab Emirates,ARE,0.0,
"2020-02-04",0,United Arab Emirates,ARE,0.0,
"2020-02-05",0,United Arab Emirates,ARE,0.0,
"2020-02-06",0,United Arab Emirates,ARE,0.0,
"2020-02-07",0,United Arab Emirates,ARE,0.0,
"2020-02-08",1,United Arab Emirates,ARE,2.0,574.0
"2020-02-09",1,United Arab Emirates,ARE,0.0,1360.0
"2020-02-10",0,United Arab Emirates,ARE,1.0,437.0
"2020-02-11",0,United Arab Emirates,ARE,0.0,
"2020-02-12",0,United Arab Emirates,ARE,0.0,
"2020-02-13",0,United Arab Emirates,ARE,0.0,
"2020-02-14",0,United Arab Emirates,ARE,0.0,306.0
"2020-02-15",1,United Arab Emirates,ARE,0.0,
"2020-01-22",0,Afghanistan,AFG,,
"2020-01-22",0,Albania,ALB,,
"2020-01-22",0,Algeria,DZA,,
"2020-01-22",0,Andorra,AND,,
"2020-01-22",0,Angola,AGO,,
"2020-01-22",0,Antigua and Barbuda,ATG,,
"2020-01-22",0,Argentina,ARG,,
"2020-01-22",0,Armenia,ARM,,
"2020-01-22",0,Austria,AUT,,
"2020-01-22",0,Azerbaijan,AZE,,
"2020-01-22",0,Bahamas,BHS,,
"2020-01-22",0,Bahrain,BHR,,
"2020-01-22",0,Bangladesh,BGD,,
"2020-01-22",0,Barbados,BRB,,
"2020-01-22",0,Belarus,BLR,,
"2020-01-22",0,Belgium,BEL,,
"2020-01-22",0,Belize,BLZ,,
"2020-01-22",0,Benin,BEN,,
"2020-01-22",0,Bhutan,BTN,,
"2020-01-22",0,Bolivia,BOL,,
"2020-01-22",0,Bosnia and Herzegovina,BIH,,
"2020-01-22",0,Botswana,BWA,,
"2020-01-22",0,Brazil,BRA,,
"2020-01-22",0,Brunei,BRN,,
"2020-01-22",0,Bulgaria,BGR,,
"2020-01-22",0,Burkina Faso,BFA,,
"2020-01-22",0,Burma,MMR,,
"2020-01-22",0,Burundi,BDI,,
"2020-01-22",0,Cabo Verde,CPV,,
"2020-01-22",0,Cambodia,KHM,,
"2020-01-22",0,Cameroon,CMR,,
"2020-01-22",0,Central African Republic,CAF,,
"2020-01-22",0,Chad,TCD,,
"2020-01-22",0,Chile,CHL,,
"2020-01-22",0,Colombia,COL,,
"2020-01-22",0,Comoros,COM,,
"2020-01-22",0,Congo (Brazzaville),COG,,
"2020-01-22",0,Congo (Kinshasa),COD,,
"2020-01-22",0,Costa Rica,CRI,,
"2020-01-22",0,Cote d'Ivoire,CIV,,
"2020-01-22",0,Croatia,HRV,,
"2020-01-22",0,Cuba,CUB,,
"2020-01-22",0,Cyprus,CYP,,
"2020-01-22",0,Czechia,CZE,,
"2020-01-22",0,Denmark,DNK,,
"2020-01-22",0,Diamond Princess,,,
"2020-01-22",0,Djibouti,DJI,,
"2020-01-22",0,Dominica,DMA,,
"2020-01-22",0,Dominican Republic,DOM,,
"2020-01-22",0,Ecuador,ECU,,
"2020-01-22",0,Egypt,EGY,,
"2020-01-22",0,El Salvador,SLV,,
"2020-01-22",0,Equatorial Guinea,GNQ,,
"2020-01-22",0,Eritrea,ERI,,
"2020-01-22",0,Estonia,EST,,
"2020-01-22",0,Eswatini,SWZ,,
"2020-01-22",0,Ethiopia,ETH,,
"2020-01-22",0,Fiji,FJI,,
"2020-01-22",0,Finland,FIN,,
"2020-01-22",0,France,FRA,,
"2020-01-22",0,Gabon,GAB,,
"2020-01-22",0,Gambia,GMB,,
"2020-01-22",0,Georgia,GEO,,
"2020-01-22",0,Germany,DEU,,
"2020-01-22",0,Ghana,GHA,,
"2020-01-22",0,Greece,GRC,,
"2020-01-22",0,Grenada,GRD,,
"2020-01-22",0,Guatemala,GTM,,
"2020-01-22",0,Guinea,GIN,,
"2020-01-22",0,Guinea-Bissau,GNB,,
"2020-01-22",0,Guyana,GUY,,
"2020-01-22",0,Haiti,HTI,,
"2020-01-22",0,Holy See,VAT,,
"2020-01-22",0,Honduras,HND,,
"2020-01-22",0,Hungary,HUN,,
"2020-01-22",0,Iceland,ISL,,
"2020-01-22",0,India,IND,,
"2020-01-22",0,Indonesia,IDN,,
"2020-01-22",0,Iran,IRN,,
"2020-01-22",0,Iraq,IRQ,,
"2020-01-22",0,Ireland,IRL,,
"2020-01-22",0,Israel,ISR,,
"2020-01-22",0,Italy,ITA,,
"2020-01-22",0,Jamaica,JAM,,
"2020-01-22",0,Japan,JPN,,
"2020-01-22",0,Jordan,JOR,,
"2020-01-22",0,Kazakhstan,KAZ,,
"2020-01-22",0,Kenya,KEN,,
"2020-01-22",0,"Korea, South",KOR,,
"2020-01-22",0,Kosovo,XKS,,
"2020-01-22",0,Kuwait,KWT,,
"2020-01-22",0,Kyrgyzstan,KGZ,,
"2020-01-22",0,Laos,LAO,,
"2020-01-22",0,Latvia,LVA,,
"2020-01-22",0,Lebanon,LBN,,
"2020-01-22",0,Lesotho,LSO,,
"2020-01-22",0,Liberia,LBR,,
"2020-01-22",0,Libya,LBY,,
"2020-01-22",0,Liechtenstein,LIE,,
"2020-01-22",0,Lithuania,LTU,,
"2020-01-22",0,Luxembourg,LUX,,
"2020-01-22",0,MS Zaandam,,,
"2020-01-22",0,Madagascar,MDG,,
"2020-01-22",0,Malawi,MWI,,
"2020-01-22",0,Malaysia,MYS,,
"2020-01-22",0,Maldives,MDV,,
"2020-01-22",0,Mali,MLI,,
"2020-01-22",0,Malta,MLT,,
"2020-01-22",0,Marshall Islands,MHL,,
"2020-01-22",0,Mauritania,MRT,,
"2020-01-22",0,Mauritius,MUS,,
"2020-01-22",0,Mexico,MEX,,
"2020-01-22",0,Micronesia,FSM,,
"2020-01-22",0,Moldova,MDA,,
"2020-01-22",0,Monaco,MCO,,
"2020-01-22",0,Mongolia,MNG,,
"2020-01-22",0,Montenegro,MNE,,
"2020-01-22",0,Morocco,MAR,,
"2020-01-22",0,Mozambique,MOZ,,
"2020-01-22",0,Namibia,NAM,,
"2020-01-22",0,Nepal,NPL,,
"2020-01-22",0,Netherlands,NLD,,
"2020-01-22",0,New Zealand,NZL,,
"2020-01-22",0,Nicaragua,NIC,,
"2020-01-22",0,Niger,NER,,
"2020-01-22",0,Nigeria,NGA,,
"2020-01-22",0,North Macedonia,MKD,,
