"country","iso3","date","rain_hours","max_wind","avg_day_temperature"
Netherlands,NLD,2020-01-01,0,10,2.6000
Netherlands,NLD,2020-01-02,0,20,2.8000
Netherlands,NLD,2020-01-03,18,24,8.2000
Netherlands,NLD,2020-01-04,6,22,7.4000
Netherlands,NLD,2020-01-05,9,14,7.0000
Netherlands,NLD,2020-01-06,0,17,5.8000
Netherlands,NLD,2020-01-07,6,23,7.2000
Netherlands,NLD,2020-01-08,12,25,10.4000
Netherlands,NLD,2020-01-09,21,27,11.8000
Netherlands,NLD,2020-01-10,24,22,7.8000
Netherlands,NLD,2020-01-11,0,25,5.2000
Netherlands,NLD,2020-01-12,12,31,8.0000
Netherlands,NLD,2020-01-13,15,29,6.0000
Netherlands,NLD,2020-01-14,21,39,9.4000
Netherlands,NLD,2020-01-15,21,37,9.8000
Netherlands,NLD,2020-01-16,0,23,6.8000
Netherlands,NLD,2020-01-17,15,20,8.4000
Netherlands,NLD,2020-01-18,24,28,6.2000
Netherlands,NLD,2020-01-19,18,17,5.8000
Netherlands,NLD,2020-01-20,0,7,5.2000
Netherlands,NLD,2020-01-21,0,11,5.0000
Netherlands,NLD,2020-01-22,6,8,6.4000
Netherlands,NLD,2020-01-23,0,5,7.0000
Netherlands,NLD,2020-01-24,0,8,3.8000
Netherlands,NLD,2020-01-25,0,10,4.2000
Netherlands,NLD,2020-01-26,0,18,4.8000
Netherlands,NLD,2020-01-27,21,23,8.4000
Netherlands,NLD,2020-01-28,24,31,5.2000
Netherlands,NLD,2020-01-29,24,24,5.6000
Netherlands,NLD,2020-01-30,9,27,7.0000
Netherlands,NLD,2020-01-31,6,28,9.4000
Netherlands,NLD,2020-02-01,18,30,10.2000
Netherlands,NLD,2020-02-02,12,30,8.2000
Netherlands,NLD,2020-02-03,21,27,8.8000
Netherlands,NLD,2020-02-04,21,25,6.0000
Netherlands,NLD,2020-02-05,0,10,6.4000
Netherlands,NLD,2020-02-06,0,8,7.0000
Netherlands,NLD,2020-02-07,0,16,5.0000
Netherlands,NLD,2020-02-08,12,17,7.4000
Netherlands,NLD,2020-02-09,9,52,9.4000
Netherlands,NLD,2020-02-10,24,40,7.4000
Netherlands,NLD,2020-02-11,18,38,5.6000
Netherlands,NLD,2020-02-12,24,31,5.4000
Netherlands,NLD,2020-02-13,15,27,5.8000
Netherlands,NLD,2020-02-14,9,15,7.2000
Netherlands,NLD,2020-02-15,0,36,9.2000
Netherlands,NLD,2020-02-16,15,44,12.8000
Netherlands,NLD,2020-02-17,18,30,7.8000
Netherlands,NLD,2020-02-18,18,29,7.4000
Netherlands,NLD,2020-02-19,18,26,6.4000
Netherlands,NLD,2020-02-20,15,34,8.2000
Netherlands,NLD,2020-02-21,12,30,7.2000
Netherlands,NLD,2020-02-22,9,42,10.2000
Netherlands,NLD,2020-02-23,21,45,9.6000
Netherlands,NLD,2020-02-24,15,36,6.2000
Netherlands,NLD,2020-02-25,18,30,6.4000
Netherlands,NLD,2020-02-26,24,27,5.2000
Netherlands,NLD,2020-02-27,21,16,3.2000
Netherlands,NLD,2020-02-28,9,28,4.8000
Netherlands,NLD,2020-02-29,18,30,8.4000
Netherlands,NLD,2020-03-01,24,32,7.4000
Netherlands,NLD,2020-03-02,18,16,5.8000
Netherlands,NLD,2020-03-03,18,17,6.0000
Netherlands,NLD,2020-03-04,12,15,7.0000
Netherlands,NLD,2020-03-05,15,21,5.8000
Netherlands,NLD,2020-03-06,21,22,6.4000
Netherlands,NLD,2020-03-07,0,20,7.2000
Netherlands,NLD,2020-03-08,12,28,8.8000
Netherlands,NLD,2020-03-09,12,19,7.2000
Netherlands,NLD,2020-03-10,21,33,10.6000
Netherlands,NLD,2020-03-11,12,32,10.8000
Netherlands,NLD,2020-03-12,21,35,7.8000
Netherlands,NLD,2020-03-13,21,30,7.4000
Netherlands,NLD,2020-03-14,6,19,7.4000
Netherlands,NLD,2020-03-15,0,24,9.0000
Netherlands,NLD,2020-03-16,0,12,10.0000
Netherlands,NLD,2020-03-17,0,19,9.0000
Netherlands,NLD,2020-03-18,0,19,10.6000
Netherlands,NLD,2020-03-19,0,15,8.4000
Netherlands,NLD,2020-03-20,3,21,7.6000
Netherlands,NLD,2020-03-21,0,24,5.4000
Netherlands,NLD,2020-03-22,0,23,5.0000
Netherlands,NLD,2020-03-23,0,20,5.6000
Netherlands,NLD,2020-03-24,0,17,6.2000
Netherlands,NLD,2020-03-25,0,14,7.4000
Netherlands,NLD,2020-03-26,0,18,6.8000
Netherlands,NLD,2020-03-27,0,22,8.8000
Netherlands,NLD,2020-03-28,3,24,8.4000
Netherlands,NLD,2020-03-29,12,36,5.0000
Netherlands,NLD,2020-03-30,12,17,6.0000
Netherlands,NLD,2020-03-31,0,15,6.0000
Netherlands,NLD,2020-04-01,9,12,6.0000
Netherlands,NLD,2020-04-02,12,22,8.0000
Netherlands,NLD,2020-04-03,15,18,7.8000
Netherlands,NLD,2020-04-04,0,13,10.0000
Netherlands,NLD,2020-04-05,0,18,13.4000
Netherlands,NLD,2020-04-06,3,18,15.4000
Netherlands,NLD,2020-04-07,0,11,16.0000
Netherlands,NLD,2020-04-08,0,12,18.6000
Netherlands,NLD,2020-04-09,0,13,15.4000
Netherlands,NLD,2020-04-10,0,12,12.2000
Netherlands,NLD,2020-04-11,0,9,15.4000
Netherlands,NLD,2020-04-12,0,11,17.2000
Netherlands,NLD,2020-04-13,9,25,7.6000
Netherlands,NLD,2020-04-14,0,14,8.0000
Netherlands,NLD,2020-04-15,0,8,12.4000
Netherlands,NLD,2020-04-16,0,15,14.6000
Netherlands,NLD,2020-04-17,0,18,11.4000
Netherlands,NLD,2020-04-18,12,15,11.4000
Netherlands,NLD,2020-04-19,0,23,12.0000
Netherlands,NLD,2020-04-20,0,28,12.2000
Netherlands,NLD,2020-04-21,0,29,13.6000
Netherlands,NLD,2020-04-22,0,23,15.2000
Netherlands,NLD,2020-04-23,0,14,18.0000
Netherlands,NLD,2020-04-24,0,15,14.0000
Netherlands,NLD,2020-04-25,0,14,12.2000
Netherlands,NLD,2020-04-26,0,6,13.8000
Netherlands,NLD,2020-04-27,0,14,14.6000
Netherlands,NLD,2020-04-28,15,18,8.0000
Netherlands,NLD,2020-04-29,15,17,12.6000
Netherlands,NLD,2020-04-30,24,23,12.0000
Netherlands,NLD,2020-05-01,21,24,11.2000
Netherlands,NLD,2020-05-02,18,20,12.0000
Netherlands,NLD,2020-05-03,18,10,13.4000
Netherlands,NLD,2020-05-04,12,18,12.0000
Netherlands,NLD,2020-05-05,0,17,10.8000
Netherlands,NLD,2020-05-06,0,13,13.4000
Netherlands,NLD,2020-05-07,0,6,16.2000
Netherlands,NLD,2020-05-08,0,8,17.8000
Netherlands,NLD,2020-05-09,0,13,18.8000
Netherlands,NLD,2020-05-10,3,30,15.0000
Netherlands,NLD,2020-05-11,3,33,9.4000
Netherlands,NLD,2020-05-12,12,18,9.4000
Netherlands,NLD,2020-05-13,9,24,9.0000
Netherlands,NLD,2020-05-14,6,17,9.4000
Netherlands,NLD,2020-05-15,9,17,10.8000
Netherlands,NLD,2020-05-16,0,13,13.2000
Netherlands,NLD,2020-05-17,0,12,16.2000
Netherlands,NLD,2020-05-18,0,20,16.0000
Netherlands,NLD,2020-05-19,0,14,16.6000
Netherlands,NLD,2020-05-20,0,10,19.0000
Netherlands,NLD,2020-05-21,0,10,21.6000
Netherlands,NLD,2020-05-22,9,23,18.4000
Netherlands,NLD,2020-05-23,9,29,15.6000
Netherlands,NLD,2020-05-24,24,22,13.4000
Netherlands,NLD,2020-05-25,0,14,17.4000
Netherlands,NLD,2020-05-26,0,8,19.0000
Netherlands,NLD,2020-05-27,0,18,16.8000
Netherlands,NLD,2020-05-28,0,18,15.2000
Netherlands,NLD,2020-05-29,0,15,16.8000
Netherlands,NLD,2020-05-30,3,14,18.6000
Netherlands,NLD,2020-05-31,0,20,17.6000
Netherlands,NLD,2020-06-01,0,15,18.2000
Netherlands,NLD,2020-06-02,0,12,22.4000
Netherlands,NLD,2020-06-03,3,16,17.8000
Netherlands,NLD,2020-06-04,12,19,13.4000
Netherlands,NLD,2020-06-05,18,25,11.0000
Netherlands,NLD,2020-06-06,21,30,12.6000
Netherlands,NLD,2020-06-07,18,22,13.8000
Netherlands,NLD,2020-06-08,18,20,15.4000
Netherlands,NLD,2020-06-09,3,12,13.8000
Netherlands,NLD,2020-06-10,6,15,16.0000
Netherlands,NLD,2020-06-11,18,14,15.4000
Netherlands,NLD,2020-06-12,6,15,20.8000
Netherlands,NLD,2020-06-13,18,12,21.4000
Netherlands,NLD,2020-06-14,9,17,21.4000
Netherlands,NLD,2020-06-15,9,13,20.4000
Netherlands,NLD,2020-06-16,15,12,19.0000
Netherlands,NLD,2020-06-17,18,15,20.0000
Netherlands,NLD,2020-06-18,21,11,19.4000
Netherlands,NLD,2020-06-19,3,17,20.2000
Netherlands,NLD,2020-06-20,6,14,19.8000
Netherlands,NLD,2020-06-21,6,16,19.8000
Netherlands,NLD,2020-06-22,0,14,19.8000
Netherlands,NLD,2020-06-23,0,11,23.0000
Netherlands,NLD,2020-06-24,0,16,24.0000
Netherlands,NLD,2020-06-25,0,17,24.6000
Netherlands,NLD,2020-06-26,6,17,26.0000
Netherlands,NLD,2020-06-27,21,20,20.6000
Netherlands,NLD,2020-06-28,9,28,18.2000
Netherlands,NLD,2020-06-29,0,28,16.4000
Netherlands,NLD,2020-06-30,21,28,17.2000
Netherlands,NLD,2020-07-01,18,23,18.6000
Netherlands,NLD,2020-07-02,15,21,18.2000
Netherlands,NLD,2020-07-03,3,22,18.4000
Netherlands,NLD,2020-07-04,21,24,15.8000
Netherlands,NLD,2020-07-05,9,33,19.4000
Netherlands,NLD,2020-07-06,21,27,16.0000
Netherlands,NLD,2020-07-07,15,22,16.6000
Netherlands,NLD,2020-07-08,21,8,14.6000
Netherlands,NLD,2020-07-09,21,19,17.2000
Netherlands,NLD,2020-07-10,21,19,16.4000
Netherlands,NLD,2020-07-11,12,16,17.2000
